dualband,refurb_new,hnd_price,phones,models,hnd_webcap,Customer_ID
Y,N,149.9899902,2,2,WCMB,1000001
N,N,,7,6,WC,1000002
N,N,29.98999023,2,1,NA,1000003
N,N,29.98999023,1,1,NA,1000004
Y,N,149.9899902,6,4,WCMB,1000005
N,N,129.9899902,9,4,WCMB,1000006
Y,N,29.98999023,4,3,NA,1000007
Y,N,79.98999023,3,2,WCMB,1000008
Y,N,29.98999023,3,3,NA,1000009
Y,N,79.98999023,2,2,WCMB,1000010
Y,N,79.98999023,3,3,WCMB,1000011
N,N,79.98999023,4,3,WC,1000012
Y,N,199.9899902,9,5,WCMB,1000013
Y,N,59.98999023,2,2,WCMB,1000014
Y,N,149.9899902,10,6,WCMB,1000015
Y,N,79.98999023,5,4,WCMB,1000016
N,N,29.98999023,3,2,WCMB,1000017
N,N,79.98999023,6,5,WC,1000018
Y,N,29.98999023,4,4,WC,1000019
Y,N,129.9899902,4,3,WCMB,1000020
Y,N,149.9899902,4,3,WCMB,1000021
N,N,129.9899902,13,6,WCMB,1000022
Y,N,149.9899902,8,6,WCMB,1000023
Y,N,79.98999023,4,3,WCMB,1000024
Y,N,59.98999023,2,2,WCMB,1000025
Y,N,59.98999023,3,3,WCMB,1000026
N,N,29.98999023,3,2,WC,1000027
Y,N,149.9899902,2,2,WCMB,1000028
Y,R,99.98999023,5,3,WCMB,1000029
Y,N,59.98999023,2,2,WCMB,1000030
Y,N,129.9899902,3,3,WCMB,1000031
N,R,9.989997864,2,2,NA,1000032
Y,N,149.9899902,4,3,WCMB,1000033
T,N,99.98999023,2,2,WCMB,1000034
Y,N,29.98999023,2,2,WC,1000035
Y,N,199.9899902,4,3,WCMB,1000036
Y,N,149.9899902,5,3,WCMB,1000037
N,N,29.98999023,1,1,NA,1000038
Y,N,79.98999023,3,3,WCMB,1000039
Y,R,29.98999023,4,3,WCMB,1000040
Y,N,199.9899902,3,3,WCMB,1000041
Y,N,79.98999023,4,3,WCMB,1000042
Y,N,29.98999023,4,3,WC,1000043
N,N,29.98999023,1,1,NA,1000044
N,R,9.989997864,3,2,NA,1000045
N,N,79.98999023,2,2,WC,1000046
N,N,29.98999023,1,1,NA,1000047
N,R,9.989997864,8,3,WCMB,1000048
Y,N,149.9899902,5,4,WCMB,1000049
Y,R,99.98999023,7,5,WCMB,1000050
Y,N,29.98999023,3,2,WC,1000051
N,N,29.98999023,2,2,WC,1000052
Y,R,9.989997864,3,3,WC,1000053
N,N,,4,4,WC,1000054
N,N,29.98999023,1,1,NA,1000055
N,N,29.98999023,4,3,NA,1000056
N,R,9.989997864,3,3,NA,1000057
N,N,29.98999023,1,1,NA,1000058
Y,N,29.98999023,2,2,NA,1000059
N,N,29.98999023,1,1,NA,1000060
Y,N,29.98999023,3,2,WC,1000061
N,R,9.989997864,2,2,NA,1000062
Y,N,129.9899902,3,3,WCMB,1000063
Y,N,199.9899902,10,7,WCMB,1000064
Y,N,129.9899902,4,4,WCMB,1000065
Y,N,29.98999023,8,5,NA,1000066
Y,N,59.98999023,5,4,WCMB,1000067
N,N,299.9899902,18,9,WCMB,1000068
N,N,29.98999023,1,1,NA,1000069
Y,N,29.98999023,2,2,NA,1000070
N,N,79.98999023,4,2,WC,1000071
Y,R,99.98999023,4,3,WCMB,1000072
N,N,29.98999023,1,1,NA,1000073
N,R,9.989997864,4,3,WC,1000074
Y,N,149.9899902,7,4,WCMB,1000075
N,R,9.989997864,7,3,NA,1000076
N,N,29.98999023,6,4,WCMB,1000077
N,N,29.98999023,2,2,NA,1000078
Y,N,29.98999023,4,3,NA,1000079
Y,N,149.9899902,6,5,WCMB,1000080
Y,R,29.98999023,7,5,WCMB,1000081
N,R,9.989997864,12,6,NA,1000082
Y,N,29.98999023,7,3,WC,1000083
Y,N,149.9899902,7,4,WCMB,1000084
T,N,199.9899902,8,6,WCMB,1000085
N,N,399.9899902,13,6,WCMB,1000086
T,N,199.9899902,8,6,WCMB,1000087
Y,N,199.9899902,10,5,WCMB,1000088
Y,R,29.98999023,5,4,WCMB,1000089
Y,N,149.9899902,3,2,WCMB,1000090
N,R,39.98999023,3,2,WC,1000091
N,R,9.989997864,3,2,NA,1000092
N,R,79.98999023,9,6,WCMB,1000093
Y,N,199.9899902,5,5,WCMB,1000094
