"","Customer_ID","area_code"
"1",1000001,1
"2",1000002,2
"3",1000003,3
"4",1000004,2
"5",1000005,4
"6",1000006,3
"7",1000007,5
"8",1000008,5
"9",1000009,2
"10",1000010,5
"11",1000011,5
"12",1000012,6
"13",1000013,3
"14",1000014,6
"15",1000015,1
"16",1000016,5
"17",1000017,1
"18",1000018,1
"19",1000019,5
"20",1000020,2
"21",1000021,7
"22",1000022,1
"23",1000023,1
"24",1000024,1
"25",1000025,1
"26",1000026,1
"27",1000027,1
"28",1000028,3
"29",1000029,4
"30",1000030,6
"31",1000031,8
"32",1000032,6
"33",1000033,5
"34",1000034,8
"35",1000035,1
"36",1000036,8
"37",1000037,8
"38",1000038,1
"39",1000039,1
"40",1000040,1
"41",1000041,1
"42",1000042,8
"43",1000043,8
"44",1000044,5
"45",1000045,2
"46",1000046,9
"47",1000047,1
"48",1000048,6
"49",1000049,1
"50",1000050,1
"51",1000051,7
"52",1000052,1
"53",1000053,1
"54",1000054,8
"55",1000055,8
"56",1000056,6
"57",1000057,8
"58",1000058,10
"59",1000059,1
"60",1000060,8
"61",1000061,8
"62",1000062,6
"63",1000063,8
"64",1000064,7
"65",1000065,8
"66",1000066,6
"67",1000067,6
"68",1000068,6
"69",1000069,1
"70",1000070,11
"71",1000071,6
"72",1000072,5
"73",1000073,7
"74",1000074,8
"75",1000075,12
"76",1000076,6
"77",1000077,6
"78",1000078,5
"79",1000079,4
"80",1000080,5
"81",1000081,8
"82",1000082,6
"83",1000083,7
"84",1000084,7
"85",1000085,6
"86",1000086,7
"87",1000087,5
"88",1000088,8
"89",1000089,8
"90",1000090,8
"91",1000091,8
"92",1000092,8
"93",1000093,8
"94",1000094,10
"95",1000095,7
"96",1000096,5
"97",1000097,1
"98",1000098,6
"99",1000099,6
"100",1000100,6
"101",1000101,13
"102",1000102,6
"103",1000103,1
"104",1000104,6
"105",1000105,13
"106",1000106,5
"107",1000107,12
"108",1000108,11
"109",1000109,6
"110",1000110,5
"111",1000111,5
"112",1000112,11
"113",1000113,7
"114",1000114,12
"115",1000115,6
"116",1000116,5
"117",1000117,2
"118",1000118,5
"119",1000119,6
"120",1000120,1
"121",1000121,13
"122",1000122,8
"123",1000123,11
"124",1000124,6
"125",1000125,12
"126",1000126,13
"127",1000127,6
"128",1000128,6
"129",1000129,6
"130",1000130,13
"131",1000131,6
"132",1000132,6
"133",1000133,8
"134",1000134,6
"135",1000135,5
"136",1000136,5
"137",1000137,8
"138",1000138,5
"139",1000139,5
"140",1000140,10
"141",1000141,8
"142",1000142,13
"143",1000143,6
"144",1000144,6
"145",1000145,8
"146",1000146,5
"147",1000147,6
"148",1000148,11
"149",1000149,6
"150",1000150,6
"151",1000151,8
"152",1000152,6
"153",1000153,12
"154",1000154,5
"155",1000155,8
"156",1000156,6
"157",1000157,3
"158",1000158,6
"159",1000159,5
"160",1000160,6
"161",1000161,9
"162",1000162,6
"163",1000163,10
"164",1000164,12
"165",1000165,5
"166",1000166,5
"167",1000167,5
"168",1000168,8
"169",1000169,13
"170",1000170,1
"171",1000171,13
"172",1000172,6
"173",1000173,4
"174",1000174,6
"175",1000175,1
"176",1000176,6
"177",1000177,13
"178",1000178,6
"179",1000179,5
"180",1000180,11
"181",1000181,8
"182",1000182,5
"183",1000183,1
"184",1000184,12
"185",1000185,8
"186",1000186,6
"187",1000187,8
"188",1000188,5
"189",1000189,5
"190",1000190,6
"191",1000191,7
"192",1000192,1
"193",1000193,5
"194",1000194,13
"195",1000195,5
"196",1000196,4
"197",1000197,5
"198",1000198,5
"199",1000199,4
"200",1000200,6
"201",1000201,13
"202",1000202,11
"203",1000203,6
"204",1000204,5
"205",1000205,10
"206",1000206,6
"207",1000207,12
"208",1000208,12
"209",1000209,3
"210",1000210,6
"211",1000211,11
"212",1000212,12
"213",1000213,5
"214",1000214,6
"215",1000215,2
"216",1000216,7
"217",1000217,7
"218",1000218,12
"219",1000219,12
"220",1000220,12
"221",1000221,5
"222",1000222,5
"223",1000223,5
"224",1000224,5
"225",1000225,3
"226",1000226,14
"227",1000227,11
"228",1000228,4
"229",1000229,12
"230",1000230,5
"231",1000231,6
"232",1000232,8
"233",1000233,9
"234",1000234,1
"235",1000235,10
"236",1000236,12
"237",1000237,10
"238",1000238,5
"239",1000239,5
"240",1000240,5
"241",1000241,12
"242",1000242,11
"243",1000243,12
"244",1000244,6
"245",1000245,4
"246",1000246,1
"247",1000247,6
"248",1000248,5
"249",1000249,5
"250",1000250,11
"251",1000251,12
"252",1000252,5
"253",1000253,7
"254",1000254,8
"255",1000255,12
"256",1000256,3
"257",1000257,5
"258",1000258,5
"259",1000259,6
"260",1000260,4
"261",1000261,5
"262",1000262,12
"263",1000263,12
"264",1000264,8
"265",1000265,6
"266",1000266,10
"267",1000267,8
"268",1000268,6
"269",1000269,6
"270",1000270,8
"271",1000271,12
"272",1000272,2
"273",1000273,15
