IndicatorCode,Location,Period,Dim1ValueCode,Value
WHOSIS_000001,Lesotho,2015,MLE,45.07
WHOSIS_000001,Lesotho,2015,BTSX,47.67
WHOSIS_000001,Central African Republic,2015,MLE,48.19
WHOSIS_000001,Eswatini,2015,MLE,50.25
WHOSIS_000001,Central African Republic,2015,BTSX,50.53
WHOSIS_000001,Lesotho,2015,FMLE,50.58
WHOSIS_000001,Somalia,2015,MLE,52.17
WHOSIS_000001,Mozambique,2015,MLE,52.42
WHOSIS_000001,Central African Republic,2015,FMLE,53.03
WHOSIS_000001,Eswatini,2015,BTSX,54.05
WHOSIS_000001,Somalia,2015,BTSX,54.57
WHOSIS_000001,Kiribati,2015,MLE,55.13
WHOSIS_000001,Guinea-Bissau,2015,MLE,55.53
WHOSIS_000001,Zimbabwe,2015,MLE,55.73
WHOSIS_000001,Sierra Leone,2015,MLE,55.9
WHOSIS_000001,Mozambique,2015,BTSX,55.95
WHOSIS_000001,Chad,2015,MLE,56.22
WHOSIS_000001,Sierra Leone,2015,BTSX,56.94
WHOSIS_000001,Guinea,2015,MLE,57.28
WHOSIS_000001,Cameroon,2015,MLE,57.29
WHOSIS_000001,Somalia,2015,FMLE,57.31
WHOSIS_000001,Botswana,2015,MLE,57.83
WHOSIS_000001,Chad,2015,BTSX,57.91
WHOSIS_000001,Sierra Leone,2015,FMLE,57.93
WHOSIS_000001,Zambia,2015,MLE,57.93
WHOSIS_000001,Côte d’Ivoire,2015,MLE,57.98
WHOSIS_000001,Kiribati,2015,BTSX,58.2
WHOSIS_000001,Guinea-Bissau,2015,BTSX,58.23
WHOSIS_000001,Burkina Faso,2015,MLE,58.24
WHOSIS_000001,Democratic Republic of the Congo,2015,MLE,58.25
WHOSIS_000001,Zimbabwe,2015,BTSX,58.48
WHOSIS_000001,Eswatini,2015,FMLE,58.71
WHOSIS_000001,Guinea,2015,BTSX,58.81
WHOSIS_000001,Cameroon,2015,BTSX,59.11
WHOSIS_000001,Angola,2015,MLE,59.13
WHOSIS_000001,Togo,2015,MLE,59.24
WHOSIS_000001,Namibia,2015,MLE,59.36
WHOSIS_000001,Eritrea,2015,MLE,59.4
WHOSIS_000001,Mozambique,2015,FMLE,59.45
WHOSIS_000001,Nigeria,2015,MLE,59.59
WHOSIS_000001,Chad,2015,FMLE,59.63
WHOSIS_000001,Benin,2015,MLE,59.66
WHOSIS_000001,Malawi,2015,MLE,59.67
WHOSIS_000001,South Sudan,2015,MLE,59.8
WHOSIS_000001,South Africa,2015,MLE,59.82
WHOSIS_000001,Burundi,2015,MLE,59.84
WHOSIS_000001,Guinea,2015,FMLE,60.07
WHOSIS_000001,Micronesia (Federated States of),2015,MLE,60.14
WHOSIS_000001,Côte d’Ivoire,2015,BTSX,60.2
WHOSIS_000001,Equatorial Guinea,2015,MLE,60.28
WHOSIS_000001,Niger,2015,MLE,60.28
WHOSIS_000001,Mali,2015,MLE,60.36
WHOSIS_000001,Democratic Republic of the Congo,2015,BTSX,60.44
WHOSIS_000001,Zambia,2015,BTSX,60.5
WHOSIS_000001,Liberia,2015,MLE,60.65
WHOSIS_000001,Guinea-Bissau,2015,FMLE,60.81
WHOSIS_000001,Uganda,2015,MLE,60.81
WHOSIS_000001,Syrian Arab Republic,2015,MLE,60.88
WHOSIS_000001,Mali,2015,BTSX,60.89
WHOSIS_000001,Burkina Faso,2015,BTSX,60.92
WHOSIS_000001,Botswana,2015,BTSX,60.93
WHOSIS_000001,Zimbabwe,2015,FMLE,60.96
WHOSIS_000001,Cameroon,2015,FMLE,60.99
WHOSIS_000001,Afghanistan,2015,MLE,61.04
WHOSIS_000001,Equatorial Guinea,2015,BTSX,61.13
WHOSIS_000001,Nigeria,2015,BTSX,61.16
WHOSIS_000001,Liberia,2015,BTSX,61.17
WHOSIS_000001,Kiribati,2015,FMLE,61.37
WHOSIS_000001,Mali,2015,FMLE,61.41
WHOSIS_000001,Niger,2015,BTSX,61.54
WHOSIS_000001,Afghanistan,2015,BTSX,61.65
