transaction_id,transaction_amount_usd,transaction_hour,distance_from_home_miles,is_foreign_transaction,transactions_last_24h,merchant_risk_score,fraud
T04545,33.8,9,2.5,0,5,3.7,Not Fraud
T02214,25.6,14,0.5,0,1,29,Not Fraud
T03259,6.03,11,8.8,0,4,20.2,Not Fraud
T00188,3.67,1,11.3,0,3,48.1,Fraud
T02271,10.2,12,12.9,0,1,26.3,Not Fraud
T04461,14.46,15,16.8,0,1,44.5,Not Fraud
T02431,15.05,12,2.8,0,2,19.2,Not Fraud
T00427,4.49,22,18.7,0,7,13.5,Not Fraud
T00277,37.43,4,1.9,0,1,16.1,Not Fraud
T03366,1.18,9,40.4,0,1,50.7,Not Fraud
T03038,60.99,5,2.2,0,7,6.8,Not Fraud
T03581,20.6,2,68.1,0,2,33.1,Fraud
T00276,55.64,19,6.6,0,2,24.3,Not Fraud
T00201,181.27,8,19.6,0,1,15.5,Not Fraud
T01545,53.34,5,30.9,0,0,19.1,Not Fraud
T00170,12.16,19,1.6,0,3,18.6,Not Fraud
T01746,6.89,4,1.4,0,2,29.7,Not Fraud
T03142,7.73,19,4.7,0,2,52.6,Not Fraud
T03712,26.38,21,10.3,1,0,28.2,Not Fraud
T04248,56.37,20,5.2,0,2,46.7,Not Fraud
T04167,8.73,6,41.5,0,4,17.6,Not Fraud
T02984,65.1,9,45.5,0,1,33.5,Not Fraud
T01993,170.47,13,24.8,0,2,18.9,Not Fraud
T00153,19.14,13,0.7,0,3,15.7,Not Fraud
T03339,30.28,20,109.5,0,0,16.3,Not Fraud
T02802,9.31,22,24.2,0,1,25.5,Not Fraud
T01934,29.19,4,2.8,0,2,41.2,Not Fraud
T03101,340.54,14,16.9,0,3,15,Not Fraud
T02594,37.92,4,7.8,1,3,16.5,Not Fraud
T03877,13.57,3,36.4,0,2,3.5,Not Fraud
T02903,25.97,20,2.4,0,1,22.9,Not Fraud
T01787,16.88,1,10.8,0,2,33.5,Not Fraud
T02257,46.52,5,2.4,0,5,35.8,Not Fraud
T03895,13.99,13,4.1,0,1,12.4,Not Fraud
T01036,52.95,5,10,0,4,57.5,Not Fraud
T04055,42.41,12,0.9,0,3,31.7,Not Fraud
T03614,55.68,17,156.7,0,3,29.8,Fraud
T04401,23.86,20,2.8,0,1,6.2,Not Fraud
T00603,24.88,11,4.9,0,6,20.6,Not Fraud
T03327,88.46,15,4.6,0,2,43.8,Fraud
T03590,54.44,23,13,0,2,49.4,Fraud
T02927,12.98,7,4.9,0,2,23.1,Not Fraud
T00218,26.61,8,36.9,0,7,33,Fraud
T00057,21.62,21,61,1,3,8.7,Not Fraud
T04207,12.14,17,25.1,0,1,11.5,Not Fraud
T01822,17.92,0,45.7,0,4,21,Not Fraud
T01963,41.13,10,5.5,1,2,62.1,Not Fraud
T00684,9.96,23,3,1,6,18.2,Not Fraud
T03534,47.02,11,3.6,0,1,9.7,Not Fraud
T02199,45.61,14,1.6,0,0,17.6,Not Fraud
T01050,71.89,0,24.8,1,1,17.4,Not Fraud
T01359,24.25,5,4.2,0,4,49.1,Not Fraud
T01479,47.31,20,3.8,0,2,8.6,Not Fraud
T04775,36.81,14,7.3,0,0,34.4,Not Fraud
T00086,19.07,0,3.3,0,2,12.9,Not Fraud
T04858,51.25,4,12.1,0,3,23.6,Not Fraud
T00705,16.79,6,4.6,0,1,7.7,Not Fraud
T04069,22.27,3,13.7,0,2,22.7,Not Fraud
T02731,596.31,3,4.6,0,2,41.6,Not Fraud
T02795,39.18,3,15.5,0,2,52.7,Not Fraud
T02013,120.98,19,1.9,0,1,11,Not Fraud
T02243,46.73,7,0.9,0,3,14.8,Not Fraud
T00544,96.26,8,8.3,0,1,6.3,Not Fraud
T02213,84.15,23,34.7,0,3,41.1,Not Fraud
T00682,12.41,17,1.8,0,1,13.6,Not Fraud
T00110,86.56,7,23.3,0,2,31.5,Not Fraud
T02534,98.75,18,1.4,0,2,50.8,Not Fraud
T00586,12.93,14,8.4,0,4,14.1,Not Fraud
T02462,44.31,11,38.3,0,3,53.1,Fraud
T03560,41.34,1,29.6,0,3,20.3,Not Fraud
T00261,39.7,22,18.5,0,2,32,Not Fraud
T04214,78.96,1,5,0,3,39.6,Not Fraud
T03747,186.58,13,5.4,0,3,22.4,Not Fraud
T01418,19.62,11,2.6,0,1,2.2,Not Fraud
T04615,42.58,22,12.7,0,3,46.8,Not Fraud
T03461,125.78,18,1.2,0,1,26.5,Not Fraud
T03682,50.69,3,2.4,0,1,20.4,Not Fraud
T00130,199.29,9,11.3,0,3,16.5,Not Fraud
T00006,36.9,0,4.7,0,0,18.2,Not Fraud
T00865,102.59,12,1.6,0,4,30.5,Not Fraud
T03991,100.63,8,23.9,0,3,44,Not Fraud
T01915,41.72,20,3.6,1,2,21.6,Not Fraud
T02643,59.54,11,3.2,0,4,17.1,Not Fraud
T04460,46.51,15,6.1,1,1,36.8,Not Fraud
T03935,29.59,13,5,1,3,22.9,Fraud
T03065,46.41,7,300.3,0,2,9.4,Not Fraud
T04697,76.05,10,8.2,0,2,12.5,Not Fraud
T02026,24.31,3,3,0,3,18.6,Not Fraud
T03752,3.72,12,5.2,0,1,3,Not Fraud
T02247,116.91,11,7.6,0,3,21.5,Not Fraud
T02180,177.02,5,9.2,0,4,31.3,Not Fraud
T01805,24,13,29.2,0,1,15.2,Not Fraud
T02340,91.66,16,16.4,0,6,26,Not Fraud
T00912,268.15,6,2.7,0,0,23.1,Not Fraud
T02960,306.94,20,17.5,0,0,34.2,Not Fraud
T02463,62.49,16,1.8,0,2,48.1,Not Fraud
T01105,148.33,3,1.3,0,3,10.1,Not Fraud
T04466,47.62,12,39.3,0,5,23.5,Not Fraud
T00562,59.47,11,6.2,0,2,18.2,Not Fraud
T03317,38.37,6,17,1,5,53.5,Fraud
T00404,32.15,8,20.3,0,1,33.2,Fraud
T01026,30.8,23,1.4,0,1,15,Not Fraud
T02969,7.16,16,11.6,1,2,53.1,Fraud
T03870,29.41,5,4.3,0,2,54.5,Not Fraud
T02808,10.07,19,5.6,1,5,3,Not Fraud
T03182,14.36,15,3.5,0,3,15,Not Fraud
T03843,14.17,10,1,0,3,16.2,Not Fraud
T02862,10.4,8,4.1,0,1,9.5,Not Fraud
T02681,18.31,8,2.3,0,5,14.9,Not Fraud
T04779,8.59,0,30.9,0,1,46.5,Not Fraud
T04296,14.52,10,3.8,0,1,59,Not Fraud
T04356,70.05,0,2.2,0,2,52.4,Not Fraud
T03059,3.35,11,12.5,0,2,19,Not Fraud
T03948,13.85,17,0.8,0,3,21,Not Fraud
T03608,31.79,0,5.6,0,1,45.5,Not Fraud
T01786,74.57,7,1,0,2,51.3,Not Fraud
T01775,304.69,3,8.6,0,6,5.7,Not Fraud
T00451,11.19,10,69.1,0,3,26.5,Not Fraud
T00434,451.95,5,5.2,0,2,15.2,Not Fraud
T04246,48.42,2,4.3,0,1,44,Not Fraud
T02600,46.64,3,7.7,0,2,22.9,Not Fraud
T00951,154.55,14,62.8,0,4,6.7,Not Fraud
T04264,395.01,13,27.1,0,1,2.3,Not Fraud
T04891,6.02,17,19.3,0,5,30.9,Not Fraud
T02009,29.75,8,13.6,0,3,19,Not Fraud
T01877,5.37,22,43.7,0,4,27.5,Not Fraud
T03663,463.67,2,1.2,0,3,5.4,Not Fraud
T00677,15.7,0,89.2,0,1,42.2,Fraud
T00102,25.03,23,2.1,0,1,46,Not Fraud
T04579,3.37,20,0.9,0,2,6.9,Not Fraud
T00103,36.84,14,0.8,0,2,15,Not Fraud
T01118,55.64,6,5.8,0,1,15.6,Not Fraud
T02120,13.17,23,1.2,0,1,14.1,Not Fraud
T04646,6.77,17,196.1,0,4,34.4,Fraud
T02603,270.1,10,1.6,0,2,25,Not Fraud
T01382,40.55,7,1.9,0,2,37.1,Not Fraud
T04571,13.21,23,6.6,0,2,25.1,Not Fraud
T00041,26.58,15,40.9,0,3,39.4,Not Fraud
T04643,85.62,23,47.5,0,3,4.2,Not Fraud
T01686,28,8,9.8,0,1,26.4,Not Fraud
T04189,104.98,13,7.3,1,2,11.1,Not Fraud
T00897,40.76,12,7.5,1,1,52.1,Not Fraud
T03407,240.84,3,10.7,0,1,38.7,Not Fraud
T03255,53.04,19,422.7,0,3,27,Fraud
T03527,124.26,22,1.3,0,0,37.3,Not Fraud
T02395,21.79,6,4.7,0,0,43.8,Not Fraud
T01373,23.9,23,5.8,0,1,17.3,Not Fraud
T04816,55.32,13,212.5,0,1,17.2,Fraud
T00310,10.83,23,6.7,0,5,12,Not Fraud
T02596,37.78,0,32.7,0,0,31,Not Fraud
T01405,6.17,22,205.2,0,4,40.5,Not Fraud
T04280,33.26,12,14.3,0,1,0.7,Not Fraud
T03494,57.95,22,3.3,0,3,33.1,Not Fraud
T02964,172.75,8,8.7,0,3,29,Not Fraud
T01000,7.3,11,28,0,3,35.9,Not Fraud
T01366,9.43,22,2.3,0,2,35.7,Not Fraud
T01790,15.91,0,10.8,0,2,24.1,Not Fraud
T01924,14.87,19,679.2,0,3,10.3,Fraud
T00084,84.1,4,1,0,4,31.4,Fraud
T04896,20.37,23,4.1,0,1,30.5,Not Fraud
T00074,107.15,17,4.7,0,8,26.6,Not Fraud
T00564,79.12,6,82,0,7,19.3,Not Fraud
T02751,13.33,20,32.5,0,1,49.7,Not Fraud
T02387,40.43,7,12,0,1,39.1,Not Fraud
T01757,20.45,18,34.2,0,5,29.1,Fraud
T04431,74.5,17,20.9,0,1,38.2,Not Fraud
T01089,63.65,8,75.3,0,5,19.3,Not Fraud
T02072,85.99,3,7.5,0,0,14.9,Not Fraud
T02609,40.56,15,7.5,0,1,34.1,Not Fraud
T04047,128.21,7,50.7,0,1,24.2,Not Fraud
T01381,19.33,9,8.5,0,2,25.1,Not Fraud
T04123,45.15,23,7.6,0,4,15.6,Fraud
T01952,4.06,8,26.2,0,2,22.1,Not Fraud
T02365,55.51,19,24.8,0,4,31.6,Not Fraud
T00615,64.31,3,16.4,0,3,25.6,Not Fraud
T00788,11.45,5,3.7,0,0,24.8,Not Fraud
T00527,117.38,17,4.5,1,2,36.9,Not Fraud
T01621,19.43,21,12.9,0,0,10.2,Not Fraud
T01249,51.46,13,81.4,0,0,21,Not Fraud
T01120,6.69,18,30.4,0,2,18.8,Not Fraud
T00829,3.18,13,1.4,0,1,34,Not Fraud
T03563,165.25,23,3.8,0,0,17.7,Not Fraud
T03393,8.15,10,24.6,0,3,25.2,Not Fraud
T00563,22.59,8,7,0,1,74.1,Not Fraud
T03586,296.42,9,23.7,0,2,42.7,Not Fraud
T04412,6.16,19,2.2,0,0,21.2,Not Fraud
T00734,93.14,20,14.5,0,5,14.5,Not Fraud
T01108,13.86,3,131.7,0,2,13.4,Not Fraud
T01193,8.3,20,2.7,0,1,9.5,Not Fraud
T04348,174.59,0,18.1,1,4,15.8,Not Fraud
T02079,48.01,20,70.4,0,4,65.3,Fraud
T00292,7.34,10,27.6,0,3,19,Not Fraud
T01225,3.58,22,3.8,0,0,13.8,Not Fraud
T04540,60.49,12,4.2,0,0,20.4,Not Fraud
T03740,30.36,19,3.2,0,2,37.6,Not Fraud
T03356,28.2,4,77.4,0,2,28.7,Fraud
T04017,16.61,17,1.5,0,5,30.9,Fraud
T00569,71.42,18,8.3,0,2,42.4,Not Fraud
T04665,13.9,16,62.1,0,4,11.7,Not Fraud
T01508,83.91,10,9.5,0,3,10.9,Not Fraud
T01030,8.05,21,3.5,0,5,48.8,Not Fraud
T04574,13,16,35.4,0,3,34.6,Not Fraud
T04423,21.75,11,4.3,0,3,52.3,Not Fraud
T02670,33.76,0,10.5,0,1,53.1,Fraud
T03602,13.35,0,12.1,0,7,30.9,Not Fraud
T01491,17.92,21,0.7,0,4,4.8,Not Fraud
T03487,66.53,18,6.7,0,2,26,Not Fraud
T03138,69.96,21,121.7,0,6,3.4,Not Fraud
T01124,7.42,11,16,0,2,31.7,Not Fraud
T00100,37.63,21,0.8,0,1,24.2,Not Fraud
T04102,34.21,15,88.9,0,0,22.6,Not Fraud
T03230,19.37,18,1.3,0,1,14,Not Fraud
T03148,58.19,1,35.5,0,1,11.5,Not Fraud
T00727,74.61,2,0.9,0,0,34.6,Not Fraud
T01138,34.67,22,78.7,0,2,68.8,Not Fraud
T00222,4.56,18,1.1,0,5,41.3,Not Fraud
T03655,10.09,4,4.5,0,2,16.3,Fraud
T00345,20.65,7,6.2,0,1,16.5,Not Fraud
T02782,62.83,17,9.2,0,2,38.5,Not Fraud
T02088,11.82,19,63.1,0,5,34.1,Not Fraud
T03447,69.51,2,6.9,1,4,48.3,Fraud
T04611,31.49,8,28.5,0,4,58.1,Fraud
T00888,85.58,20,19.3,0,2,35.7,Not Fraud
T00411,4.45,2,14.9,0,2,9.9,Fraud
T04752,6.93,14,6.4,0,1,62.7,Not Fraud
T02024,20.19,17,7.3,0,0,17.4,Not Fraud
T04607,22.79,21,3.6,0,3,8.1,Not Fraud
T01998,58.39,2,13.9,0,0,39.5,Not Fraud
T01163,150.65,0,34.7,0,2,48.5,Not Fraud
T00144,8.67,17,6.6,0,1,31.2,Not Fraud
T00197,5.76,17,9.1,0,0,34.1,Not Fraud
T01675,18.55,1,3.6,0,3,34.7,Not Fraud
T02864,412.24,14,10.4,0,1,19.6,Not Fraud
T01651,10.45,22,24.6,0,2,29.6,Not Fraud
T03823,496.6,5,9.8,0,2,19.8,Not Fraud
T04727,29.15,16,32,0,2,28.5,Not Fraud
T01814,117.67,4,17.4,0,0,32.5,Not Fraud
T00776,15.63,19,71.9,0,0,24.3,Not Fraud
T01230,38.83,20,1.9,0,4,48.8,Not Fraud
T00202,32.68,10,2,0,4,15.6,Not Fraud
T01195,38.09,15,0.5,0,2,17.9,Not Fraud
T00574,12.86,14,479.1,0,2,42.3,Fraud
T02086,181.51,4,2.6,0,1,72.6,Not Fraud
T02345,21.78,0,27.1,0,0,14.9,Not Fraud
T03202,5.72,6,5.8,0,1,3.6,Not Fraud
T00538,17.25,6,6.5,0,1,28.5,Not Fraud
T00622,119.83,0,24.3,0,4,45.1,Not Fraud
T02412,25.61,20,4.3,0,0,68.9,Not Fraud
T03804,136.78,18,0.7,0,0,16.9,Not Fraud
T03490,31.24,23,10.9,0,1,34.8,Not Fraud
T00518,72.6,9,0.3,0,2,37.5,Fraud
T02806,11.24,17,31.3,0,1,11.2,Not Fraud
T00412,9.22,14,4.9,0,4,26.1,Not Fraud
T02366,81.03,10,2.1,0,1,31.2,Not Fraud
T03377,24.98,1,19.2,0,6,19.6,Not Fraud
T02764,48.59,2,112,0,0,45.2,Not Fraud
T03775,9.81,17,4.2,0,1,31.4,Not Fraud
T04767,30.27,22,14.5,0,4,49.4,Not Fraud
T00918,21.85,5,4.1,0,3,5.1,Not Fraud
T02402,18.64,9,7.3,0,1,30.9,Not Fraud
T03783,103.57,8,1.8,0,0,20.9,Not Fraud
T04511,25.42,18,3.2,0,1,12.9,Not Fraud
T01655,15.55,8,75.6,0,3,50.3,Fraud
T02598,133.05,16,66.2,1,2,18.3,Not Fraud
T03175,6.72,6,22.8,0,2,4.2,Not Fraud
T03555,15.17,16,8.9,0,1,34.6,Not Fraud
T04427,37.64,22,17,0,1,10.1,Not Fraud
T02702,78.4,21,4.4,0,0,35.9,Not Fraud
T00506,38,1,11.6,0,1,38.8,Not Fraud
T00148,13.26,15,0.2,0,2,13.5,Fraud
T03442,13.25,4,2.3,0,5,32.7,Fraud
T01485,213.38,4,0.5,0,0,40.9,Not Fraud
T02118,44.77,23,17.7,1,3,30.6,Not Fraud
