transaction_id,transaction_amount_usd,transaction_hour,distance_from_home_miles,is_foreign_transaction,transactions_last_24h,merchant_risk_score,fraud
T04545,33.8,9,2.5,0,5,3.7,
T02214,25.6,14,0.5,0,1,29,
T03259,6.03,11,8.8,0,4,20.2,
T00188,3.67,1,11.3,0,3,48.1,
T02271,10.2,12,12.9,0,1,26.3,
T04461,14.46,15,16.8,0,1,44.5,
T02431,15.05,12,2.8,0,2,19.2,
T00427,4.49,22,18.7,0,7,13.5,
T00277,37.43,4,1.9,0,1,16.1,
T03366,1.18,9,40.4,0,1,50.7,
T03038,60.99,5,2.2,0,7,6.8,
T03581,20.6,2,68.1,0,2,33.1,
T00276,55.64,19,6.6,0,2,24.3,
T00201,181.27,8,19.6,0,1,15.5,
T01545,53.34,5,30.9,0,0,19.1,
T00170,12.16,19,1.6,0,3,18.6,
T01746,6.89,4,1.4,0,2,29.7,
T03142,7.73,19,4.7,0,2,52.6,
T03712,26.38,21,10.3,1,0,28.2,
T04248,56.37,20,5.2,0,2,46.7,
T04167,8.73,6,41.5,0,4,17.6,
T02984,65.1,9,45.5,0,1,33.5,
T01993,170.47,13,24.8,0,2,18.9,
T00153,19.14,13,0.7,0,3,15.7,
T03339,30.28,20,109.5,0,0,16.3,
T02802,9.31,22,24.2,0,1,25.5,
T01934,29.19,4,2.8,0,2,41.2,
T03101,340.54,14,16.9,0,3,15,
T02594,37.92,4,7.8,1,3,16.5,
T03877,13.57,3,36.4,0,2,3.5,
T02903,25.97,20,2.4,0,1,22.9,
T01787,16.88,1,10.8,0,2,33.5,
T02257,46.52,5,2.4,0,5,35.8,
T03895,13.99,13,4.1,0,1,12.4,
T01036,52.95,5,10,0,4,57.5,
T04055,42.41,12,0.9,0,3,31.7,
T03614,55.68,17,156.7,0,3,29.8,
T04401,23.86,20,2.8,0,1,6.2,
T00603,24.88,11,4.9,0,6,20.6,
T03327,88.46,15,4.6,0,2,43.8,
T03590,54.44,23,13,0,2,49.4,
T02927,12.98,7,4.9,0,2,23.1,
T00218,26.61,8,36.9,0,7,33,
T00057,21.62,21,61,1,3,8.7,
T04207,12.14,17,25.1,0,1,11.5,
T01822,17.92,0,45.7,0,4,21,
T01963,41.13,10,5.5,1,2,62.1,
T00684,9.96,23,3,1,6,18.2,
T03534,47.02,11,3.6,0,1,9.7,
T02199,45.61,14,1.6,0,0,17.6,
T01050,71.89,0,24.8,1,1,17.4,
T01359,24.25,5,4.2,0,4,49.1,
T01479,47.31,20,3.8,0,2,8.6,
T04775,36.81,14,7.3,0,0,34.4,
T00086,19.07,0,3.3,0,2,12.9,
T04858,51.25,4,12.1,0,3,23.6,
T00705,16.79,6,4.6,0,1,7.7,
T04069,22.27,3,13.7,0,2,22.7,
T02731,596.31,3,4.6,0,2,41.6,
T02795,39.18,3,15.5,0,2,52.7,
T02013,120.98,19,1.9,0,1,11,
T02243,46.73,7,0.9,0,3,14.8,
T00544,96.26,8,8.3,0,1,6.3,
T02213,84.15,23,34.7,0,3,41.1,
T00682,12.41,17,1.8,0,1,13.6,
T00110,86.56,7,23.3,0,2,31.5,
T02534,98.75,18,1.4,0,2,50.8,
T00586,12.93,14,8.4,0,4,14.1,
T02462,44.31,11,38.3,0,3,53.1,
T03560,41.34,1,29.6,0,3,20.3,
T00261,39.7,22,18.5,0,2,32,
T04214,78.96,1,5,0,3,39.6,
T03747,186.58,13,5.4,0,3,22.4,
T01418,19.62,11,2.6,0,1,2.2,
T04615,42.58,22,12.7,0,3,46.8,
T03461,125.78,18,1.2,0,1,26.5,
T03682,50.69,3,2.4,0,1,20.4,
T00130,199.29,9,11.3,0,3,16.5,
T00006,36.9,0,4.7,0,0,18.2,
T00865,102.59,12,1.6,0,4,30.5,
T03991,100.63,8,23.9,0,3,44,
T01915,41.72,20,3.6,1,2,21.6,
T02643,59.54,11,3.2,0,4,17.1,
T04460,46.51,15,6.1,1,1,36.8,
T03935,29.59,13,5,1,3,22.9,
T03065,46.41,7,300.3,0,2,9.4,
T04697,76.05,10,8.2,0,2,12.5,
T02026,24.31,3,3,0,3,18.6,
T03752,3.72,12,5.2,0,1,3,
T02247,116.91,11,7.6,0,3,21.5,
T02180,177.02,5,9.2,0,4,31.3,
T01805,24,13,29.2,0,1,15.2,
T02340,91.66,16,16.4,0,6,26,
T00912,268.15,6,2.7,0,0,23.1,
T02960,306.94,20,17.5,0,0,34.2,
T02463,62.49,16,1.8,0,2,48.1,
T01105,148.33,3,1.3,0,3,10.1,
T04466,47.62,12,39.3,0,5,23.5,
T00562,59.47,11,6.2,0,2,18.2,
T03317,38.37,6,17,1,5,53.5,
T00404,32.15,8,20.3,0,1,33.2,
T01026,30.8,23,1.4,0,1,15,
T02969,7.16,16,11.6,1,2,53.1,
T03870,29.41,5,4.3,0,2,54.5,
T02808,10.07,19,5.6,1,5,3,
T03182,14.36,15,3.5,0,3,15,
T03843,14.17,10,1,0,3,16.2,
T02862,10.4,8,4.1,0,1,9.5,
T02681,18.31,8,2.3,0,5,14.9,
T04779,8.59,0,30.9,0,1,46.5,
T04296,14.52,10,3.8,0,1,59,
T04356,70.05,0,2.2,0,2,52.4,
T03059,3.35,11,12.5,0,2,19,
T03948,13.85,17,0.8,0,3,21,
T03608,31.79,0,5.6,0,1,45.5,
T01786,74.57,7,1,0,2,51.3,
T01775,304.69,3,8.6,0,6,5.7,
T00451,11.19,10,69.1,0,3,26.5,
T00434,451.95,5,5.2,0,2,15.2,
T04246,48.42,2,4.3,0,1,44,
T02600,46.64,3,7.7,0,2,22.9,
T00951,154.55,14,62.8,0,4,6.7,
T04264,395.01,13,27.1,0,1,2.3,
T04891,6.02,17,19.3,0,5,30.9,
T02009,29.75,8,13.6,0,3,19,
T01877,5.37,22,43.7,0,4,27.5,
T03663,463.67,2,1.2,0,3,5.4,
T00677,15.7,0,89.2,0,1,42.2,
T00102,25.03,23,2.1,0,1,46,
T04579,3.37,20,0.9,0,2,6.9,
T00103,36.84,14,0.8,0,2,15,
T01118,55.64,6,5.8,0,1,15.6,
T02120,13.17,23,1.2,0,1,14.1,
T04646,6.77,17,196.1,0,4,34.4,
T02603,270.1,10,1.6,0,2,25,
T01382,40.55,7,1.9,0,2,37.1,
T04571,13.21,23,6.6,0,2,25.1,
T00041,26.58,15,40.9,0,3,39.4,
T04643,85.62,23,47.5,0,3,4.2,
T01686,28,8,9.8,0,1,26.4,
T04189,104.98,13,7.3,1,2,11.1,
T00897,40.76,12,7.5,1,1,52.1,
T03407,240.84,3,10.7,0,1,38.7,
T03255,53.04,19,422.7,0,3,27,
T03527,124.26,22,1.3,0,0,37.3,
T02395,21.79,6,4.7,0,0,43.8,
T01373,23.9,23,5.8,0,1,17.3,
T04816,55.32,13,212.5,0,1,17.2,
T00310,10.83,23,6.7,0,5,12,
T02596,37.78,0,32.7,0,0,31,
T01405,6.17,22,205.2,0,4,40.5,
T04280,33.26,12,14.3,0,1,0.7,
T03494,57.95,22,3.3,0,3,33.1,
T02964,172.75,8,8.7,0,3,29,
T01000,7.3,11,28,0,3,35.9,
T01366,9.43,22,2.3,0,2,35.7,
T01790,15.91,0,10.8,0,2,24.1,
T01924,14.87,19,679.2,0,3,10.3,
T00084,84.1,4,1,0,4,31.4,
T04896,20.37,23,4.1,0,1,30.5,
T00074,107.15,17,4.7,0,8,26.6,
T00564,79.12,6,82,0,7,19.3,
T02751,13.33,20,32.5,0,1,49.7,
T02387,40.43,7,12,0,1,39.1,
T01757,20.45,18,34.2,0,5,29.1,
T04431,74.5,17,20.9,0,1,38.2,
T01089,63.65,8,75.3,0,5,19.3,
T02072,85.99,3,7.5,0,0,14.9,
T02609,40.56,15,7.5,0,1,34.1,
T04047,128.21,7,50.7,0,1,24.2,
T01381,19.33,9,8.5,0,2,25.1,
T04123,45.15,23,7.6,0,4,15.6,
T01952,4.06,8,26.2,0,2,22.1,
T02365,55.51,19,24.8,0,4,31.6,
T00615,64.31,3,16.4,0,3,25.6,
T00788,11.45,5,3.7,0,0,24.8,
T00527,117.38,17,4.5,1,2,36.9,
T01621,19.43,21,12.9,0,0,10.2,
T01249,51.46,13,81.4,0,0,21,
T01120,6.69,18,30.4,0,2,18.8,
T00829,3.18,13,1.4,0,1,34,
T03563,165.25,23,3.8,0,0,17.7,
T03393,8.15,10,24.6,0,3,25.2,
T00563,22.59,8,7,0,1,74.1,
T03586,296.42,9,23.7,0,2,42.7,
T04412,6.16,19,2.2,0,0,21.2,
T00734,93.14,20,14.5,0,5,14.5,
T01108,13.86,3,131.7,0,2,13.4,
T01193,8.3,20,2.7,0,1,9.5,
T04348,174.59,0,18.1,1,4,15.8,
T02079,48.01,20,70.4,0,4,65.3,
T00292,7.34,10,27.6,0,3,19,
T01225,3.58,22,3.8,0,0,13.8,
T04540,60.49,12,4.2,0,0,20.4,
T03740,30.36,19,3.2,0,2,37.6,
T03356,28.2,4,77.4,0,2,28.7,
T04017,16.61,17,1.5,0,5,30.9,
T00569,71.42,18,8.3,0,2,42.4,
T04665,13.9,16,62.1,0,4,11.7,
T01508,83.91,10,9.5,0,3,10.9,
T01030,8.05,21,3.5,0,5,48.8,
T04574,13,16,35.4,0,3,34.6,
T04423,21.75,11,4.3,0,3,52.3,
T02670,33.76,0,10.5,0,1,53.1,
T03602,13.35,0,12.1,0,7,30.9,
T01491,17.92,21,0.7,0,4,4.8,
T03487,66.53,18,6.7,0,2,26,
T03138,69.96,21,121.7,0,6,3.4,
T01124,7.42,11,16,0,2,31.7,
T00100,37.63,21,0.8,0,1,24.2,
T04102,34.21,15,88.9,0,0,22.6,
T03230,19.37,18,1.3,0,1,14,
T03148,58.19,1,35.5,0,1,11.5,
T00727,74.61,2,0.9,0,0,34.6,
T01138,34.67,22,78.7,0,2,68.8,
T00222,4.56,18,1.1,0,5,41.3,
T03655,10.09,4,4.5,0,2,16.3,
T00345,20.65,7,6.2,0,1,16.5,
T02782,62.83,17,9.2,0,2,38.5,
T02088,11.82,19,63.1,0,5,34.1,
T03447,69.51,2,6.9,1,4,48.3,
T04611,31.49,8,28.5,0,4,58.1,
T00888,85.58,20,19.3,0,2,35.7,
T00411,4.45,2,14.9,0,2,9.9,
T04752,6.93,14,6.4,0,1,62.7,
T02024,20.19,17,7.3,0,0,17.4,
T04607,22.79,21,3.6,0,3,8.1,
T01998,58.39,2,13.9,0,0,39.5,
T01163,150.65,0,34.7,0,2,48.5,
T00144,8.67,17,6.6,0,1,31.2,
T00197,5.76,17,9.1,0,0,34.1,
T01675,18.55,1,3.6,0,3,34.7,
T02864,412.24,14,10.4,0,1,19.6,
T01651,10.45,22,24.6,0,2,29.6,
T03823,496.6,5,9.8,0,2,19.8,
T04727,29.15,16,32,0,2,28.5,
T01814,117.67,4,17.4,0,0,32.5,
T00776,15.63,19,71.9,0,0,24.3,
T01230,38.83,20,1.9,0,4,48.8,
T00202,32.68,10,2,0,4,15.6,
T01195,38.09,15,0.5,0,2,17.9,
T00574,12.86,14,479.1,0,2,42.3,
T02086,181.51,4,2.6,0,1,72.6,
T02345,21.78,0,27.1,0,0,14.9,
T03202,5.72,6,5.8,0,1,3.6,
T00538,17.25,6,6.5,0,1,28.5,
T00622,119.83,0,24.3,0,4,45.1,
T02412,25.61,20,4.3,0,0,68.9,
T03804,136.78,18,0.7,0,0,16.9,
T03490,31.24,23,10.9,0,1,34.8,
T00518,72.6,9,0.3,0,2,37.5,
T02806,11.24,17,31.3,0,1,11.2,
T00412,9.22,14,4.9,0,4,26.1,
T02366,81.03,10,2.1,0,1,31.2,
T03377,24.98,1,19.2,0,6,19.6,
T02764,48.59,2,112,0,0,45.2,
T03775,9.81,17,4.2,0,1,31.4,
T04767,30.27,22,14.5,0,4,49.4,
T00918,21.85,5,4.1,0,3,5.1,
T02402,18.64,9,7.3,0,1,30.9,
T03783,103.57,8,1.8,0,0,20.9,
T04511,25.42,18,3.2,0,1,12.9,
T01655,15.55,8,75.6,0,3,50.3,
T02598,133.05,16,66.2,1,2,18.3,
T03175,6.72,6,22.8,0,2,4.2,
T03555,15.17,16,8.9,0,1,34.6,
T04427,37.64,22,17,0,1,10.1,
T02702,78.4,21,4.4,0,0,35.9,
T00506,38,1,11.6,0,1,38.8,
T00148,13.26,15,0.2,0,2,13.5,
T03442,13.25,4,2.3,0,5,32.7,
T01485,213.38,4,0.5,0,0,40.9,
T02118,44.77,23,17.7,1,3,30.6,
T00826,30.97,9,12.7,0,2,55.9,
T03363,70.49,3,116.8,0,1,18.8,
T02432,155.87,19,7.4,0,2,10.6,
T01823,36.28,12,14.8,0,3,39.9,
T01579,32.55,15,1.8,0,2,28.2,
T02552,16.87,10,46.2,0,1,27.3,
T01614,7.21,5,10.1,0,1,56.7,
T03587,9.11,9,22.4,0,1,28.3,
T01222,10.58,15,10.8,0,5,30.4,
T00018,53.45,18,1.6,0,4,23.2,
T00246,16.56,3,1.4,0,2,29.3,
T03832,3.99,22,2.7,0,2,37.7,
T00271,40.76,5,5,0,0,38.3,
T00346,28.94,15,14.9,0,1,9.4,
T02287,17.24,8,33,0,3,19.2,
T00540,160.8,21,2.5,0,2,9.9,
T01841,51.93,19,2,0,4,54.6,
T00039,25.3,23,3.3,1,3,16.4,
T03117,21.18,1,240.7,0,6,12.9,
T02415,105.62,19,5.4,0,2,37.8,
T02424,38.6,1,64.2,0,4,35.2,
T04320,11.02,16,103,1,2,33.2,
T00961,37.39,6,25.3,0,3,44.5,
T03691,54.25,7,6,0,2,31.4,
T03272,50.84,20,2.1,0,2,17.1,
T01377,39.45,19,13.4,0,1,21.9,
T03436,10.42,14,5.3,0,0,27.1,
T04236,8.01,13,3.5,0,2,42,
T02758,7.65,0,14.4,0,0,31.1,
T03901,20.67,12,51.5,0,3,25.9,
T02280,6.09,22,1.2,0,4,15.9,
T03649,151.3,7,7.3,0,0,20.9,
T00124,14.69,11,4.1,0,5,44.6,
T00224,186.41,7,14,0,5,73.3,
T04528,70.79,0,12.3,0,1,53.7,
T03303,11.7,18,2.8,0,2,51.8,
T03990,55.19,13,11.1,0,2,18,
T02284,74.31,20,1.7,0,5,31.6,
T01186,1.44,0,1.1,0,3,6.9,
T01187,10.55,3,27.1,0,4,7.7,
T04016,3.06,7,17.1,0,5,28.4,
T03254,7.15,18,1.2,0,3,34.8,
T00751,64.59,16,8.1,0,0,22.3,
T02553,28.26,9,40.3,0,4,4.9,
T01906,15.9,18,5.3,0,2,30.6,
T01871,26.36,22,1.6,0,0,35.3,
T03976,64.08,18,0.5,0,0,41.6,
T04284,47.96,5,2.4,0,1,26.7,
T03399,14.79,7,4,0,4,18.3,
T01024,47.29,20,29.6,1,5,15.7,
T02011,66.77,9,1.8,1,1,14.1,
T04724,61.72,1,5,0,1,18.3,
T03085,8.03,18,7.1,0,1,38.1,
T00939,92.84,18,13.2,0,1,18.5,
T01197,58.33,15,72.8,0,2,24.3,
T04526,581.47,3,75,1,2,36.9,
T02473,14.91,14,8.7,0,2,33.3,
T00849,70.6,17,2.1,0,3,18.5,
T04908,33.23,11,1.2,0,1,37.1,
T03626,15.82,1,88.7,0,2,43.2,
T04086,53.61,10,42.2,0,3,15.3,
T04067,33.69,19,26.8,0,2,29,
T03375,18.07,2,8,0,0,54.4,
T02223,275.83,5,72.8,0,3,31.3,
T00303,3.79,20,4.3,1,0,49.4,
T02593,38.51,8,4.4,0,0,44,
T03109,92.58,10,4.7,0,6,7.8,
T00613,41.76,15,59,0,3,25.3,
T01767,41.15,7,1.2,0,5,32.6,
T03520,25.73,10,107.1,0,6,23,
T04489,32.69,20,13,0,3,57.4,
T01531,24.63,13,71,0,2,41.4,
T01585,32.54,7,8.4,0,2,37.7,
T03532,4.25,19,17.7,0,3,2.5,
T02683,4.62,0,1.4,0,0,26,
T01690,26.49,13,3.7,0,3,3.9,
T03384,24.82,8,4.7,0,1,21.2,
T02206,77.84,21,16.6,0,2,46.2,
T01868,74.69,11,4.7,0,3,14,
T04317,58.03,2,9.9,0,3,32,
T02921,11.72,10,13.6,0,4,14.6,
T00873,17.93,5,78.9,0,4,44.2,
T04402,47.43,23,9.8,0,3,39.9,
T01338,31.17,7,8.8,0,4,17.7,
T00735,131.39,21,3.5,0,1,6.6,
T04436,33.53,16,45.7,0,2,31.8,
T04283,90.67,1,7.9,0,1,12.5,
T02025,241.26,13,58.2,0,4,45,
T03880,69.8,18,59,0,5,17.4,
T01626,34.38,3,13.4,0,2,49.8,
T02612,19.81,2,10,0,6,30.2,
T02139,60.9,20,18.3,0,4,58.7,
T04917,5.56,0,0.8,0,1,10.5,
T02127,58.29,6,3.9,0,1,13.5,
T01650,61.13,13,3.6,0,1,37.2,
T03738,95.2,2,3.3,0,2,13.4,
T00923,2.99,2,10.4,0,7,12.9,
T01483,25.15,14,41.9,0,2,7.5,
T03635,9.18,16,10.5,0,2,20.4,
T03876,5.88,23,5.9,0,1,16.4,
T02171,20.55,4,1.9,0,2,21.8,
T02156,10.06,20,6.7,1,0,15.3,
T00461,76.18,21,1.7,0,5,13.5,
T01171,11.41,5,34.4,0,3,41.4,
T04967,63.27,21,8.9,0,8,43.7,
T04865,40.04,18,1.9,0,6,52.2,
T04965,222.51,14,50.2,0,5,51.6,
T04770,22.88,15,17.1,0,1,15.7,
T03621,7.14,0,54.6,0,3,23.6,
T01014,45.23,18,25.1,0,3,53.1,
T01323,60.9,17,12.7,0,2,10.1,
T01170,34.71,22,2.2,0,1,21.1,
T02208,4.06,4,23.8,0,0,20,
T04396,84.9,2,49.5,0,2,21.5,
T01983,46.94,4,26.2,0,0,25.9,
T03625,36.82,3,16.9,0,3,17,
T04619,54.65,19,23.6,0,0,23.3,
T02241,2.98,8,105.3,0,3,5.3,
T02925,36.24,0,5.5,0,4,31,
T04037,40.5,0,17.7,0,2,28.3,
T01264,170.63,7,9.6,0,3,26,
T00037,150.74,13,21.3,0,2,50.3,
T03300,10.34,23,2.9,0,2,13.9,
T02467,22.97,3,9,0,2,29.4,
T04404,52.87,10,0.4,0,3,20.7,
T03619,14.87,18,8.5,0,2,6.8,
T04631,19.16,15,12.8,0,4,45.3,
T02732,14.9,23,17,0,6,21.6,
T00304,29.65,13,0.5,0,1,61.8,
T04769,42.33,16,19.7,0,1,33.3,
T02204,11.38,10,17.9,0,3,15.9,
T01820,13.81,18,7,1,2,73.7,
T04424,29.19,12,3.4,0,2,33.8,
T02844,76.19,16,1.3,0,2,37.3,
T03536,34.51,21,11.2,0,3,33.9,
T02554,134.37,9,1.2,0,1,34.3,
T01259,23.62,2,16.6,0,1,32.3,
T02715,33.97,12,19.8,0,2,4.8,
T03234,5.95,17,1.5,0,2,15.7,
T02633,36.64,14,10.1,0,2,18.3,
T03929,39.38,5,89.2,0,4,7.9,
T04789,58.21,23,7.8,0,4,28.1,
T04715,415.33,3,16.4,0,2,16.6,
T04035,90.43,16,18,0,0,36.6,
T01599,45.49,1,23.8,0,1,17.9,
T02189,9.91,16,20.3,0,4,34,
T04855,11.7,5,27.9,0,0,30.1,
T03069,12.74,7,14.3,0,0,63.7,
T01898,18.04,4,7,0,1,51.4,
T00288,42.54,1,54.7,0,0,42.5,
T01191,16.77,18,0.7,1,0,16,
T01989,17.73,20,5.4,0,3,44.7,
T00323,84.36,8,15.3,0,3,35.4,
T00195,15.66,14,8.4,0,3,15.3,
T04732,125.37,23,30,0,0,3.7,
T03645,20.98,18,21.9,1,2,21.4,
T00909,411.97,14,15.2,0,2,34.8,
T02488,38.53,16,28.3,0,4,28.1,
T00581,115.65,14,8,0,2,28.9,
T00262,47.34,14,2.5,1,3,50.2,
T01730,18.52,7,8.1,0,0,48,
T04491,10.95,11,5.4,0,2,73,
T01941,19.42,5,1.4,0,3,7.8,
T02621,15.87,14,1.8,0,3,35.9,
T01324,12.57,1,7.6,0,2,36.7,
T03220,21.23,5,0.7,0,3,48.4,
T03266,5.3,8,1.4,1,2,8.6,
T00204,205.33,8,21.6,1,3,18.1,
T03229,13.6,6,16.8,0,2,15.2,
T00003,9.49,5,22.9,0,5,45.8,
T04793,65.63,16,7.8,0,1,12.4,
T02022,81.98,11,111.1,0,1,60.7,
T04756,2.65,17,20.2,0,2,27.2,
T04725,35.08,11,3.5,0,2,15,
T02454,33.31,14,5.7,0,5,33.8,
T04202,27.06,0,10.5,0,2,35,
T02774,177.15,18,11.1,0,4,15,
T04964,6.52,2,3.6,0,5,24.5,
T03082,14.55,6,19.9,0,0,28.4,
T04247,83.82,3,11.9,0,2,16.3,
T02435,77.53,23,2.6,0,1,55.7,
T02781,19.36,9,10.4,0,1,17,
T01220,10.81,11,12.3,0,1,56.8,
T02045,202.92,22,8.3,1,1,29.4,
T04388,102.86,1,3.2,0,2,74,
T03200,43.64,3,1.5,0,2,74.8,
T03070,110.92,3,20.4,0,2,68.8,
T01369,62.96,15,8.3,0,2,25.9,
T02599,57,20,11.6,0,2,24.3,
T00403,8.84,19,18.8,0,1,21.7,
T00791,51.76,5,12.4,0,1,33.9,
T02521,11.63,15,2,0,2,24.7,
T02262,43.42,3,12.8,0,2,17.9,
T03067,12.5,10,15.5,0,0,23.3,
T01698,74.93,20,3.4,1,3,18.8,
T03018,18.22,11,61,0,0,24.6,
T01097,36.04,1,20.9,0,2,47.6,
T02845,29.67,0,9.8,0,3,45.5,
T01726,17.64,11,6.6,0,3,17.8,
T02394,110.02,4,52.5,1,1,9.5,
T03495,21.85,4,11.4,0,0,19.6,
T03281,562.93,2,3.7,1,1,28.6,
T04717,4.83,3,20.6,0,4,25.8,
T01604,1.11,13,16.3,0,2,37.7,
T02601,10.49,18,15,0,2,5.2,
T02527,31.25,17,14.6,0,3,21.8,
T02126,13.12,13,1.4,0,2,50.4,
T00198,33.97,9,3,0,0,7.7,
T02709,21.81,14,9.8,0,4,1.8,
T00864,22.83,14,8.8,0,4,14.5,
T00749,42.9,16,7.8,0,4,40.1,
T03575,10.76,23,8.9,0,2,25.8,
T03969,26.21,19,2.9,0,1,46.5,
T02558,12.67,22,171.9,1,5,11.7,
T04041,79.37,20,7.1,0,2,38.7,
T00690,2.75,13,11.6,0,4,4.7,
T02798,410.91,17,7.2,0,1,36.1,
T04160,9.36,1,122.5,1,3,7.9,
T04096,16.79,19,131.9,0,5,18.2,
T02346,91.22,13,302.6,1,5,26.5,
T04529,59.37,3,10.2,0,3,21.7,
